[25/08/2013-21:05:59]* <Dueño> Hammet ol 
[26/08/2013-15:12:38]*  Hurtito rolea 
[27/08/2013-05:25:00]*  Ardilla retiró su Mac 11 de debajo de su camiseta, en su espalda. Dispara al puto cerdo con sindrome... 
[27/08/2013-05:25:09]*  Ardilla ...de down que tiene delante cual espetero. 
[27/08/2013-09:39:57]*  Ardilla alza el mastil 
[27/08/2013-13:31:33]*  Hurtito salamea 
[27/08/2013-15:39:14]*  Manley . 
[28/08/2013-09:44:05]*  Manley le da un beso 
[29/08/2013-13:42:57]*  rammrath Join Radiation 
[29/08/2013-16:04:28]*  LeSacrix hola 
[30/08/2013-06:23:42]*  JARA saca su pico de el maletero, acto seguido lo carga y se pone a minar. 
[30/08/2013-06:23:57]*  Hurtito le da igual 
[30/08/2013-06:24:05]*  Juan0906 ._.! 
[30/08/2013-08:07:03]*  Hurtito Dulce espera voy al baño 
[30/08/2013-08:07:08]*  ATXBOY512 ja 
[30/08/2013-08:07:22]*  ATXBOY512 lool a quien le gusta este server? dga yo 
[30/08/2013-08:07:36]*  ATXBOY512 lool a quien le gusta este server? dga yo 
[30/08/2013-08:10:28]*  Hurtito lo roba y se va 
[30/08/2013-08:13:08]*  Hurtito Dulce estoy en una casa, que puedo romper todo pero no abrir puertas 
[31/08/2013-15:48:23]*  FreezeInc hola 
[31/08/2013-15:48:44]*  FreezeInc Fac Patitos tiene el privilegio de ser aliada de lospro y de xCrafters 
[31/08/2013-15:48:53]*  FreezeInc Gracias por su atencion 
[31/08/2013-16:40:56]*  FreezeInc mierda ablenxd 
[31/08/2013-16:46:55]*  FreezeInc patito se disolvio 
[01/09/2013-10:22:45]*  FreezeInc KIEN IERE VENIR A GANAR XP MATANDO ZOMBIES MANDE TPA!!!! 
[03/09/2013-00:21:20]* <Moderador> Fran picó hacia arriba. 
[03/09/2013-15:01:07]*  Ender13 Alexvela feo 
[03/09/2013-15:01:34]*  Alexvela ElGranxKiraz Sabes donde esta la faccion Bullets? la quiero destruir? 
[04/09/2013-06:12:28]*  Loczard test 
[04/09/2013-06:12:44]*  Loczard . 
[04/09/2013-15:08:53]*  asdasdasd as 
[04/09/2013-15:08:56]*  asdasdasd asdasdasd 
[04/09/2013-17:50:56]*  Starkz se la fuma 
[04/09/2013-17:51:32]*  MrNekitho fumador 
[05/09/2013-08:53:29]*  Traqux empuja a Manleu 
[05/09/2013-08:53:32]*  Traqux empuja a Manley 
[05/09/2013-08:53:34]*  Traqux empuja a Manley 
[05/09/2013-08:53:34]*  Traqux empuja a Manley 
[05/09/2013-08:53:35]*  Traqux empuja a Manley 
[05/09/2013-08:53:38]*  Traqux is now op 
[05/09/2013-08:53:39]*  Manley la chupas 
[05/09/2013-08:53:46]*  xJuancaa manley putp 
[05/09/2013-08:53:48]*  xJuancaa manley puto 
[06/09/2013-04:03:01]*  Loczard le pega un tiro en la cara al newfagg 
[06/09/2013-08:46:12]*  Westbrook se hace una paja y se lo echa a Cnario 
[06/09/2013-08:46:31]*  xJuancaa pega a westrbook y lo nokea 
[06/09/2013-08:46:36]*  Westbrook es hulk 
[06/09/2013-08:46:52]*  xJuancaa reporta a canario 
[06/09/2013-08:46:54]*  xJuancaa lo expulsa 
[06/09/2013-08:46:55]*  xJuancaa lo mata 
[06/09/2013-08:46:57]*  xJuancaa se suicida 
[06/09/2013-08:46:59]*  xJuancaa se muere 
[06/09/2013-08:47:06]*  SrCanario se toca un huevo 
[06/09/2013-08:47:32]*  SrCanario se saca un moco y se lo pega en el culo 
[06/09/2013-08:47:39]*  xJuancaa LE METE UN HOSTION Y LE PARTE LA NUEZ 
[06/09/2013-08:59:03]*  xJuancaa le pega 
[06/09/2013-08:59:10]*  Westbrook lo ahoga 
[06/09/2013-12:05:59]*  Loczard le pega un tiro en la cara a Escande. 
[07/09/2013-05:54:56]*  Insomnia a 
[07/09/2013-21:56:57]*  Franco se tira un pedo 
[08/09/2013-08:46:04]*  MrNekitho se echo un pedo 
[08/09/2013-09:11:51]*  Westbrook te invitó a Trolls 
[08/09/2013-16:54:39]*  cristianperlado cogió con ámbas manos la piedra que posaba en el suelo, acto seguido la llevó hasta la boca. 
[08/09/2013-16:55:05]*  cristianperlado , tras unos instantes, sin más preámbulos se la comió, saboreándola ricamente. 
[08/09/2013-19:10:16]*  SliderKP malnacido 
[09/09/2013-18:13:02]*  Autorojo rolea 
[09/09/2013-19:04:43]*  Autorojo agita el hueso frente a Musita. 
[09/09/2013-22:56:38]*  Autorojo se siente superior. 
[09/09/2013-22:57:00]* <Emerald> Carlos Nejro me chupa las pelotas 
[09/09/2013-22:57:20]* <Emerald> Carlos Se rasca los huevos 
[09/09/2013-23:11:32]*  Autorojo lo vigila 
[09/09/2013-23:11:50]* <Emerald> Carlos se rasca la verga con un tenedor 
[10/09/2013-08:27:05]*  Christian a 
[10/09/2013-15:31:04]*  Autorojo usfre 
[10/09/2013-15:31:40]*  Dollar rie 
[10/09/2013-15:31:46]*  Dollar es un trol 
[10/09/2013-16:42:00]*  Autorojo le agradece 
[10/09/2013-19:02:15]*  Lloyder hola a todos soy nuevo en el server -.- 
[10/09/2013-19:02:33]*  Lloyder xd grax 
[10/09/2013-19:05:23]*  Lloyder que buen server :D 
[10/09/2013-19:05:32]*  Lloyder =D 
[10/09/2013-19:09:29]*  Lloyder alguien quiere ser de mi fac soy nuevo xD 
[10/09/2013-19:09:54]*  Lloyder no nadie quiere D: 
[10/09/2013-19:11:57]*  Lloyder amerald o carlos puedo ser de tu fac 
[10/09/2013-19:12:13]*  Lloyder aunque no me creas soy bueno en pvp 
[10/09/2013-19:12:37]*  Lloyder en todos los server que juego y tienen el pugin de top siempre estoy en el top 
[10/09/2013-19:13:41]*  Lloyder q 
[10/09/2013-19:14:08]*  Lloyder dame plata y te doy 
[10/09/2013-19:15:04]*  Lloyder este plugin es diferente como se los trabajos que hay ? 
[10/09/2013-19:15:21]*  Lloyder BLEOS dame plata y te doy 
[10/09/2013-19:15:38]*  Lloyder mmm ser malo o no ? 
[10/09/2013-19:15:53]*  Lloyder ok te doy 
[10/09/2013-19:16:50]*  Lloyder yeyus puedo en trara a tu fac ? 
[10/09/2013-19:16:58]*  Lloyder soy pro creeme 
[10/09/2013-19:17:07]*  Lloyder D: 
[10/09/2013-19:27:19]*  Lloyder SwagLT ally de fac yo tambien soy nuevo 
[10/09/2013-19:27:24]*  Lloyder entre ace unos minutos 
[10/09/2013-19:28:33]*  Lloyder LilEazyKush puedo entrar a tu fac porfa 
[10/09/2013-19:28:46]*  Lloyder soy nuevo pero soy pro creeme 
[10/09/2013-19:29:07]*  Lloyder solo nesecito algo de diamot y ya veras 
[10/09/2013-19:30:59]*  Lloyder LilEazyKush si subo mi pow a 10 y te demuestro lo pro que soy entro ? 
